text,class
又还好你提前结清及时止损我都还了快两年了明年十一月都要结清了??他妈的贡献了能了五六个了,0
以后不打了。哈哈，我套100多都被监控了。太坑了,0
U盾过期了，常年没用过U盾。。。,2
平安我的5折，0.41也不想分。感觉还是有点贵,2
一百多万的贷款。。。。,2
我也有推荐名额，但是觉得不靠谱，怕先派人。,0
建设2.0k错过提额短信,2
1000尚未准备好激活。,2
我也是，昨晚凌晨申的，拒的话9.30之前会来短信,2
朋友你这三个500是什么时候什么别人时候的？当我发现的时候，我心累么,0
现在已经顾不上利息的问题了，现在是每个月还最低看能不能保证征信了,2
我是3个月2次过的，开心很,1
我特么没逾期都频繁提示逾期并扣了违约金而且还款记录就是按时还款的,0
银行的钱别欠，每个本月多少还一点进去，别给整成信用卡诈骗了。,0
国内用可以再中行个积分0001，或者冬奥，撸5倍中行也相对。中行批招行不批可能是申请交集流水理财很香更...,1
如果点了会怎么样？即使其他人没有逾期，它仍然提示我这个配额调整没有被批准。,2
卡费要补进去吗,2
我没有交行信用卡，谁来组我？发链接,2
我也出推荐额度了不过我觉得不靠谱，怕送人头,0
你对砖行算是有情有义了，砖行对你不仁不义，销得漂亮不惯它！,0
8k能干嘛，低的可怜,0
昨天刘老太申请的，还没批??估计凉凉,0
分期邀请我了，不过只邀分期，不让提额，和我耍流氓,2
恭喜，我老婆25000都两年多了没了让提过,1
季日均开心这砖一个月就行了，，，哈哈哈,1
平安不支持跨行自动还款啊，不必这个不方便,0
是，信用卡很难批。,0
两家都是那行，一定要选，野鸡就留广发。,0
为啥我也不知道，09年办的交行卡不到一万，从来没分过，现在额度15万。,2
等十倍提吧，我也是3000，好无奈,0
这怎么搞就办个中国银行的信用卡？这么难么,0
主要有小额贷,2
城市里所有银行都在你附近，你可以去Google找工作。心累啊,0
正因为走了许多路的无数繁华与，我们才能在时光的流逝中体会岁月的变迁，越来越怀旧了，可能是老...,0
固提到2w以内靠谱，以上人头应该是送都,1
当然是拿来啊基金买，白嫖多香。,1
从两年批卡到开卡首刷然后第三天显示达标，至少也要四五天，到间隔时有没有就不一定了，不过这个好不容易活动时间还很长，还有小半年，就算没有也大概率会社会活动补货…心累吧,0
建行大山80k,2
我和你一样，申请吧，反正我没申请下来，你看下能有多少额度,2
数额两年了，额度依然很低,0
银行没毛，也没新户礼，你说不,0
广发现在提额慢了，2年没提额了,0
比如说，如果你只有 1 万块的资金，那么理财经理可能会给你推荐，销售起点比较低的公募理财。,2
你对砖行深情义气，但砖行对你不，又不好卖,0
我中行房贷??首卡批4000??我说啥了??连销了几次??现在预审批都没了搞不好系统记仇了??房贷现在都还11年了??这又搬了20砖??3个月后是骡子是马到时候就知道了...,0
农行下卡33k，不错吧,1
加我，我方案你出帮，靠谱的,1
对面可能是类似对话的人工客服。看到你发消息，他立刻,2
招商银行分期动不动就打电话信用卡，真烦,0
卡都没激活，就开始变低气了,0
越久额度越高,2
牛逼，白金100.然后年费几百，要是我直接拿刀去民生银行了。耍猴去？,0
调查审批和审批有什么区别，征信查询过多，还送了两条。唉,2
需不需要PS，只要你提供数字图片，想要多少PS多少,2
我的额度恢复了，给我发了个短信说我的临时额度已取消，你去app看看是不是也恢复了,2
因为现在额度为0了，也没办法刷出来用了，想还款压力小一点，是不是办理展期最合适？,2
请问除了建行还有哪些银行不必喜欢多头授信的啊,0
3万，中信降到基本上万还不错。2都是下卡,1
中行老油子申同等级卡都是共享额度，没有曲线古时,0
后悔了，当时不懂，乱申请的，当时都不知道大山白,2
恭喜提鹅,1
我协商了，但是不给减免，心累‘,0
大哥，那23k额度，怎么办理25K的账单呢？,2
招商银行信用卡很不错，给我批6到额度，一直升千6的目前万。,1
三楼你把问题说清楚我好解答你！说不清楚，心累啊,0
不错了，说我额度使用率低不给我提捏！我看别人一个月几块钱的消费不照样提,1
申他要是，换家，那么多银行，非要在浦发挂死,0
其实心里1舒服，资质不好下卡不万，别提太辛苦了，,0
没有优缺点吗？或者说选择性的差距？以及额度发展的速率,2
鼎极白开卡后，打电话销了这两个卡，DIY卡多选它不但了2项年58元，不能自选还不能取消订制，只有销了它。,0
怎么刷到五星？申卡每次拒被都,0
线下这速度也够快的了,1
现在呢？这一期我的确没看完?心情不好?,0
你这征信，难。。。牙痛再搞吧,0
Young卡是一张面向年轻人的信用卡，申请人申请年龄限制在30周岁以下和，这张卡的申请门槛相对比较低，容易下卡,1
别理，他有病,0
签约，征信应该只显示贷款审批，不用，应该不显示吧，如果要是显示，我其他的卡就难提额了,2
出数字不管临时和固定的稳都很,1
工行的提额是最给力信用卡，不要担心结果,1
中信卡利息真高，真坑，建议最好不要用，我现在入坑了，没法了，只能慢慢了,0
你的不清楚，我的前天插卡刷了两笔有积分了，之前那五笔是用闪付挥卡的不知道是不是闪付没积分了，别人闪付有没有也不知道...,2
